ecatalogue_key,IdeFiledAsFamily,IdeFiledAsSubfamily,DarScientificName,LotRegion_tab,LotNoOfSpecimens_tab,LotPrimaryType,LotSyntypes,LotParatypes
741,Coccinellidae,Coccinellinae,"Psyllobora rufosignata Mulsant, 1850",Neotropical,6,,,
742,Coccinellidae,Scymninae,"Stethorus gilvifrons Mulsant, 1850",Palearctic,7,,,
743,Coccinellidae,Coccinellinae,"Micraspis guerini Mulsant, 1850",Oriental,3,,,
744,Coccinellidae,Coccidulinae,"Chnoodes terminalis Mulsant, 1850",Neotropical,1,,,
745,Coccinellidae,Coccinellinae,"Hippodamia quindecimmaculata Mulsant, 1850",Nearctic,6,,,
746,Coccinellidae,Scymninae,"Scymnus (Scymnus) nubilus Mulsant, 1850",Oriental,3,,,
747,Coccinellidae,Coccinellinae,"Coelophora bissellata Mulsant, 1850","Palearctic
Oriental","2
6",,,
748,Coccinellidae,Coccinellinae,"Neoharmonia venusta ampla Mulsant, 1850",Nearctic,7,,,
749,Coccinellidae,Coccinellinae,"Hippodamia sinuata Mulsant, 1850","Nearctic
Neotropical","6
1",,,
750,Coccinellidae,Coccinellinae,"Megalocaria reichei Mulsant, 1850",Oriental,1,,,
751,Coccinellidae,Coccinellinae,"Neda marginalis Mulsant, 1850",Neotropical,12,,,
752,Coccinellidae,Coccinellinae,"Hippodamia glacialis extensa Mulsant, 1850",Nearctic,3,,,
753,Coccinellidae,Chilocorinae,"Axion Mulsant, 1850",Nearctic,3,,,
754,Coccinellidae,Chilocorinae,"Chilocorus melanophthalmus Mulsant, 1850",Oriental,1,,,
755,Coccinellidae,Chilocorinae,"Chilocorus politus Mulsant, 1850",unknown,1,,,
756,Coccinellidae,Chilocorinae,"Chilocorus schioedtei Mulsant, 1850",Afrotropical,11,,,
757,Coccinellidae,Chilocorinae,"Egius platycephalus Mulsant, 1850",Neotropical,1,,,
758,Coccinellidae,Chilocorinae,"Elpis dolens Mulsant, 1850",Afrotropical,12,,,
759,Coccinellidae,Chilocorinae,"Exochomus childreni childreni Mulsant, 1850",Nearctic,33,,,
760,Coccinellidae,Chilocorinae,"Exochomus childreni Mulsant, 1850",Nearctic,32,,,
761,Coccinellidae,Chilocorinae,"Orcus janthinus Mulsant, 1850",Oriental,6,,,
762,Coccinellidae,Coccidulinae,"Azya luteipes Mulsant, 1850",Neotropical,3,,,
763,Coccinellidae,Coccidulinae,"Azya pontbrianti Mulsant, 1850",Neotropical,1,,,
764,Coccinellidae,Coccidulinae,"Azya Mulsant, 1850",Neotropical,7,,,
765,Coccinellidae,Coccidulinae,"Bucolus fourneti Mulsant, 1850",Australian,4,,,
766,Coccinellidae,Coccidulinae,"Eupalea formosa Mulsant, 1850",Neotropical,3,,,
767,Coccinellidae,Coccidulinae,"Eupalea Mulsant, 1850",Neotropical,10,,,
768,Coccinellidae,Coccidulinae,"Rhyzobius sahlbergi Mulsant, 1850",Afrotropical,12,,,
769,Coccinellidae,Coccidulinae,"Rodolia Mulsant, 1850",Nearctic,1,,,
770,Coccinellidae,Coccidulinae,"Rodolia cardinalis Mulsant, 1850","Palearctic
Nearctic","4
24",,,
771,Coccinellidae,Coccidulinae,"Rodolia fumida Mulsant, 1850",unknown,6,,,
772,Coccinellidae,Coccidulinae,"Rodolia rufopilosa Mulsant, 1850",Oriental,1,,,
