Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T063_001,SE_T063_002,SE_T063_003
Ross County,"Ross County, Ohio",692.96,50,3901410,390,1410,39454,692.9600379,39454,11288,39454,0,382879,282291,100588
Sandusky County,"Sandusky County, Ohio",412.3483,50,3901430,390,1430,30617,412.3483058,30617,8160,30617,0,237293,189662,47631
Scioto County,"Scioto County, Ohio",616.0734,50,3901450,390,1450,35377,616.0733749,35377,12394,35377,0,252380,129486,122894
Seneca County,"Seneca County, Ohio",552.3653,50,3901470,390,1470,40869,552.3652955,40869,16686,40869,0,326383,263284,63099
Shelby County,"Shelby County, Ohio",411.036,50,3901490,390,1490,24707,411.0359548,24707,4850,24707,0,239203,182295,56908
Stark County,"Stark County, Ohio",580.9082,50,3901510,390,1510,84170,580.9081748,84170,43888,84170,26189,333189,285188,48001
Summit County,"Summit County, Ohio",420.0611,50,3901530,390,1530,54089,420.0610528,54089,30215,54089,27601,236454,192790,43664
Trumbull County,"Trumbull County, Ohio",634.715,50,3901550,390,1550,42373,634.714985,42373,10262,42373,0,358980,299902,59078
Tuscarawas County,"Tuscarawas County, Ohio",571.4823,50,3901570,390,1570,46618,571.4823452,46618,14693,46618,0,338892,272960,65932
Union County,"Union County, Ohio",436.9747,50,3901590,390,1590,22860,436.9747083,22860,2810,22860,0,261123,216214,44909
Van Wert County,"Van Wert County, Ohio",410.4848,50,3901610,390,1610,29671,410.4847746,29671,7697,29671,0,232350,161284,71066
Vinton County,"Vinton County, Ohio",414.959,50,3901630,390,1630,16045,414.9590297,16045,0,16045,0,214346,145855,68491
Warren County,"Warren County, Ohio",407.1391,50,3901650,390,1650,25468,407.1390756,25468,5779,25468,0,235435,193924,41511
Washington County,"Washington County, Ohio",640.1477,50,3901670,390,1670,42380,640.1477126,42380,8273,42380,0,376349,268117,108232
Wayne County,"Wayne County, Ohio",556.3108,50,3901690,390,1690,39005,556.3108323,39005,5901,39005,0,334216,271167,63049
Williams County,"Williams County, Ohio",423.0502,50,3901710,390,1710,24897,423.0502233,24897,3068,24897,0,249365,186525,62840
Wood County,"Wood County, Ohio",620.539,50,3901730,390,1730,44392,620.5390077,44392,6324,44392,0,318039,234118,83921
Wyandot County,"Wyandot County, Ohio",407.6206,50,3901750,390,1750,21722,407.620576,21722,3572,21722,0,241486,199596,41890
