Geo_name,Geo_QName,Geo_AREAL,Geo_SUMLEV,Geo_FIPS,Geo_STATE,Geo_COUNTY,SE_T001_001,SE_A002_001,SE_T002_001,SE_T002_002,SE_T003_001,SE_T003_002,SE_T073_001,SE_T073_002,SE_T073_003,SE_T073_004,SE_T073_005,SE_T073_006,SE_T073_007,SE_T073_008,SE_T073_009
Putnam County,"Putnam County, Ohio",484.2261,50,3901370,390,1370,29972,484.2260971,29972,0,29972,0,292502,252866,177192,75089,585,39636,28779,10719,138
Richland County,"Richland County, Ohio",500.3257,50,3901390,390,1390,47667,500.3257215,47667,25671,47667,0,303085,236328,141498,88760,6070,66757,39010,25070,2677
Ross County,"Ross County, Ohio",692.96,50,3901410,390,1410,40069,692.9600379,40069,14508,40069,0,404171,291913,167349,113425,11139,112258,75458,32611,4189
Sandusky County,"Sandusky County, Ohio",412.3483,50,3901430,390,1430,35171,412.3483058,35171,14661,35171,0,247142,206198,119947,84731,1520,40944,23548,16864,532
Scioto County,"Scioto County, Ohio",616.0734,50,3901450,390,1450,48463,616.0733749,48463,23481,48463,0,276273,138295,100633,34510,3152,137978,103912,30951,3115
Seneca County,"Seneca County, Ohio",552.3653,50,3901470,390,1470,42421,552.3652955,42421,19946,42421,0,336645,280502,155906,121154,3442,56143,31148,24457,538
Shelby County,"Shelby County, Ohio",411.036,50,3901490,390,1490,24663,411.0359548,24663,6607,24663,0,247695,209238,117389,90427,1422,38457,21997,15846,614
Stark County,"Stark County, Ohio",580.9082,50,3901510,390,1510,122987,580.9081748,122987,79179,122987,50217,335382,275214,170306,99254,5654,60168,36510,22593,1065
Summit County,"Summit County, Ohio",420.0611,50,3901530,390,1530,108253,420.0610528,108253,82497,108253,69067,227405,163191,101255,56184,5752,64214,38496,22463,3255
Trumbull County,"Trumbull County, Ohio",634.715,50,3901550,390,1550,52766,634.714985,52766,23178,52766,0,365859,253073,195166,52944,4963,112786,86151,23799,2836
Tuscarawas County,"Tuscarawas County, Ohio",571.4823,50,3901570,390,1570,57035,571.4823452,57035,26865,57035,0,332536,266918,196909,66426,3583,65618,49380,15139,1099
Union County,"Union County, Ohio",436.9747,50,3901590,390,1590,21871,436.9747083,21871,3576,21871,0,269064,236904,159648,74923,2333,32160,21231,10571,358
Van Wert County,"Van Wert County, Ohio",410.4848,50,3901610,390,1610,29119,410.4847746,29119,9639,29119,0,250482,219045,143200,73310,2535,31437,20044,10769,624
Vinton County,"Vinton County, Ohio",414.959,50,3901630,390,1630,13096,414.9590297,13096,0,13096,0,216347,138568,112239,16075,10254,77779,55467,10384,11928
Warren County,"Warren County, Ohio",407.1391,50,3901650,390,1650,24497,407.1390756,24497,5357,24497,0,249783,205813,104670,97651,3492,43970,21482,21770,718
Washington County,"Washington County, Ohio",640.1477,50,3901670,390,1670,45422,640.1477126,45422,12923,45422,0,368307,257759,216004,40082,1673,110548,88666,20337,1545
Wayne County,"Wayne County, Ohio",556.3108,50,3901690,390,1690,38058,556.3108323,38058,9237,38058,0,336807,269894,154278,112850,2766,66913,37163,29063,687
Williams County,"Williams County, Ohio",423.0502,50,3901710,390,1710,25198,423.0502233,25198,6400,25198,0,260255,208341,132642,74155,1544,51914,32279,19248,387
Wood County,"Wood County, Ohio",620.539,50,3901730,390,1730,46330,620.5390077,46330,7725,46330,0,360008,308497,171739,132391,4367,51511,29876,21063,572
Wyandot County,"Wyandot County, Ohio",407.6206,50,3901750,390,1750,20760,407.620576,20760,3779,20760,0,242102,208790,132159,71389,5242,33312,20816,11230,1266
