"Year","County","Population","Area","Urban_pop","Density","Prop_urban"
1900,"Columbiana",68590,535.1811095,36287,128.162221689927,0.529042134421927
1900,"Coshocton",29337,567.5733154,6473,51.6884765439062,0.220642874186181
1900,"Crawford",33915,402.8284317,17124,84.192170490234,0.504909332153914
1900,"Cuyahoga",439120,459.4089174,405526,955.836909925859,0.923496993987976
1900,"Darke",42532,600.2857753,6783,70.8529199758967,0.159479921000658
1900,"Defiance",26387,414.1832822,10099,63.7085105411336,0.382726342517149
1900,"Delaware",26401,455.9736449,7940,57.900276244672,0.300746183856672
1900,"Erie",37650,256.5773663,19664,146.739365762989,0.522284196547145
1900,"Fairfield",34259,508.5959272,8991,67.3599574196512,0.262441986047462
1900,"Fayette",21725,407.0773975,5751,53.368229563765,0.264718066743383
1900,"Franklin",164460,543.3247829,125560,302.691880024676,0.763468320564271
1900,"Fulton",22801,407.319194,0,55.9782115251853,0
1900,"Gallia",27918,471.1353678,5432,59.2568546283525,0.194569811591088
1900,"Geauga",14744,408.2840356,0,36.1121148867178,0
1900,"Greene",31613,416.2127896,8696,75.953937000306,0.27507670894885
1900,"Guernsey",34425,528.2915106,8241,65.1628869843134,0.239389978213508
1900,"Hamilton",409479,412.783997,349768,991.993398426248,0.854178114140163
1900,"Hancock",41993,533.5929542,18953,78.698565394213,0.451337127616508
1900,"Hardin",31187,470.5338155,9428,66.2800397605005,0.30230544778273
1900,"Harrison",20486,410.7887208,0,49.8699184342356,0
1900,"Henry",27282,419.9748001,3639,64.9610405041062,0.133384649219265
1900,"Highland",30982,557.8397218,8514,55.5392504141321,0.274804725324382
1900,"Hocking",24398,423.5991399,3480,57.5969063718111,0.142634642183786
1900,"Holmes",19511,424.0182617,0,46.0145275860886,0
1900,"Huron",32330,494.5126957,9881,65.3774923902323,0.305629446334674
1900,"Jackson",34248,421.4991208,12717,81.2528385231213,0.371320953048353
1900,"Jefferson",44357,410.8725212,20829,107.958059279434,0.469576391550375
1900,"Knox",27768,529.5310711,6633,52.4388492299749,0.238872082973207
1900,"Lake",21680,231.713917,5024,93.563650732295,0.231734317343173
1900,"Lawrence",39534,457.2767256,11868,86.4553076654553,0.300197298527849
1900,"Licking",47070,688.3791723,18157,68.3780130109552,0.385744635649033
1900,"Logan",30420,466.7751359,6649,65.1705664256227,0.218573307034846
1900,"Lorain",54857,494.6682882,28901,110.896536747107,0.526842517819057
1900,"Lucas",153559,347.0145405,131822,442.514598318395,0.858445288130295
1900,"Madison",20590,465.9406905,3511,44.1901735989293,0.170519669742593
1900,"Mahoning",70134,423.3810368,44885,165.652199564929,0.639989163601106
1900,"Marion",28678,404.14415,11862,70.9598295558652,0.413627170653463
1900,"Medina",21958,423.1117488,0,51.8964553980733,0
1900,"Meigs",28620,432.3764235,7438,66.1923232731491,0.259888190076869
1900,"Mercer",28021,473.2922692,2815,59.2044320676599,0.100460369008958
1900,"Miami",43105,409.2189093,18053,105.334819629265,0.418814522677184
1900,"Monroe",27031,457.4577711,0,59.0896071893181,0
1900,"Montgomery",130146,464.3444281,89274,280.279017307325,0.685952699276198
1900,"Morgan",17905,421.8582103,0,42.4431706266118,0
1900,"Morrow",17879,407.3550166,0,43.8904623029503,0
1900,"Muskingum",53185,672.5903452,23538,79.0748787572694,0.442568393343988
1900,"Noble",19466,404.5847632,0,48.1135271779311,0
1900,"Ottawa",22213,267.0984085,0,83.1641046636936,0
1900,"Paulding",27528,418.8962125,0,65.7155619424465,0
1900,"Perry",31841,412.5924782,2966,77.1730016478037,0.0931503407556295
1900,"Pickaway",27016,506.7893478,6991,53.3081449270351,0.258772579212319
1900,"Pike",18172,443.941743,0,40.9332987639326,0
1900,"Portage",29246,507.1042042,8544,57.6725646480057,0.292142515215756
1900,"Preble",23713,426.3253099,3155,55.6218442802802,0.13304938219542
1900,"Putnam",32525,484.2260971,0,67.1690356938426,0
1900,"Richland",44289,500.3257215,22325,88.5203340480268,0.504075504075504
1900,"Ross",40940,692.9600379,12976,59.0798859398411,0.31695163654128
1900,"Sandusky",34311,412.3483058,12248,83.2087813079115,0.356970067908251
1900,"Scioto",40981,616.0733749,17870,66.519673905161,0.436055733144628
1900,"Seneca",41163,552.3652955,17379,74.5213363970293,0.422199548137891
1900,"Shelby",24625,411.0359548,5688,59.9096008814653,0.230984771573604
1900,"Stark",94747,580.9081748,51585,163.101509171601,0.544449956199141
1900,"Summit",71715,420.0610528,50268,170.725182737056,0.700941225685003
1900,"Trumbull",46591,634.714985,18627,73.404600649219,0.399798244296109
1900,"Tuscarawas",53751,571.4823452,22639,94.0553990013268,0.421182861714201
1900,"Union",22342,436.9747083,3048,51.1288172418925,0.136424671023185
1900,"Van Wert",30394,410.4847746,8650,74.0441592008319,0.284595643877081
1900,"Vinton",15330,414.9590297,0,36.9434062227373,0
1900,"Warren",25584,407.1390756,5591,62.8384783806293,0.21853502188868
1900,"Washington",48245,640.1477126,13348,75.3654180908496,0.276671157632915
1900,"Wayne",37870,556.3108323,6063,68.0734542655426,0.160100343279641
1900,"Williams",24953,423.0502233,3131,58.9835405483404,0.125475894682002
1900,"Wood",51555,620.5390077,8628,83.0809979071038,0.167355251672971
1900,"Wyandot",21125,407.620576,3355,51.8251561471715,0.158816568047337
1910,"Adams",24755,585.7856879,0,42.2594824546583,0
1910,"Allen",56580,406.8799787,33064,139.058206257225,0.584376104630612
1910,"Ashland",22975,426.8442626,6795,53.8252520018762,0.295756256800871
1910,"Ashtabula",59547,709.7655449,26585,83.8967183288528,0.44645406149764
1910,"Athens",47798,508.5371204,14072,93.9911720945829,0.294405623666262
1910,"Auglaize",31246,401.7178055,11081,77.7809685610264,0.354637393586379
1910,"Belmont",76856,541.3875198,30286,141.961159408315,0.394061621734152
1910,"Brown",24832,495.21664,0,50.1437108413805,0
1910,"Butler",70271,470.2001799,48431,149.449113386016,0.689203227504945
1910,"Carroll",15761,399.0057851,0,39.5006804125658,0
1910,"Champaign",26351,429.7047661,7739,61.323499478867,0.293689044059049
1910,"Clark",66435,403.7946845,46921,164.526682866723,0.706269285768044
1910,"Clermont",29551,457.6712534,0,64.5681802832671,0
1910,"Clinton",23680,412.2846827,4491,57.4360411474001,0.189653716216216
1910,"Columbiana",76619,535.1811095,46385,143.16461967722,0.605398138842846
1910,"Coshocton",30121,567.5733154,9603,53.0697958884344,0.318814116397198
1910,"Crawford",34036,402.8284317,19143,84.4925465076104,0.562433893524503
1910,"Cuyahoga",637425,459.4089174,599579,1387.489393126,0.940626740400831
1910,"Darke",42933,600.2857753,7832,71.5209351388407,0.182423776582116
1910,"Defiance",24498,414.1832822,7327,59.1477277157953,0.299085639644053
1910,"Delaware",27182,455.9736449,9076,59.6130945374295,0.3338974321242
1910,"Erie",38327,256.5773663,19989,149.377946124783,0.521538341117228
1910,"Fairfield",39201,508.5959272,13093,77.0769050704266,0.333996581719854
1910,"Fayette",21744,407.0773975,7277,53.4149037346147,0.334667034584253
1910,"Franklin",221567,543.3247829,181511,407.798442061458,0.819214955295689
1910,"Fulton",23914,407.319194,2650,58.7107122675884,0.110813749268211
1910,"Gallia",25745,471.1353678,5560,54.6445921057001,0.215964264905807
1910,"Geauga",14670,408.2840356,0,35.9308685152029,0
1910,"Greene",29733,416.2127896,8706,71.4370166966152,0.292805973161134
1910,"Guernsey",42716,528.2915106,14483,80.856873795844,0.339053282142523
1910,"Hamilton",460732,412.783997,407259,1116.15761111979,0.883939036142486
1910,"Hancock",37860,533.5929542,16403,70.9529608702618,0.433254094030639
1910,"Hardin",30407,470.5338155,7185,64.6223480616134,0.236294274344723
1910,"Harrison",19076,410.7887208,0,46.4374970248696,0
1910,"Henry",25119,419.9748001,4007,59.8107314867914,0.159520681555794
1910,"Highland",28711,557.8397218,8524,51.4681885817619,0.296889693845564
1910,"Hocking",23650,423.5991399,4850,55.8310859780856,0.20507399577167
1910,"Holmes",17909,424.0182617,0,42.2363884239281,0
1910,"Huron",34206,494.5126957,14110,69.1711260346516,0.41250073086593
1910,"Jackson",30791,421.4991208,12343,73.0511606799062,0.400863888798675
1910,"Jefferson",65423,410.8725212,30711,159.229436441563,0.469422068691439
1910,"Knox",30181,529.5310711,9087,56.9957112002979,0.301083463105928
1910,"Lake",22927,231.713917,5501,98.9452869160207,0.239935447289222
1910,"Lawrence",39488,457.2767256,13147,86.3547121235772,0.332936588330632
1910,"Licking",55590,688.3791723,25404,80.7549127529,0.456988667026444
1910,"Logan",30084,466.7751359,8238,64.4507337392647,0.273833266852812
1910,"Lorain",76037,494.6682882,48073,153.713107983298,0.63223167668372
1910,"Lucas",192728,347.0145405,168497,555.388831033724,0.874273587646839
1910,"Madison",19902,465.9406905,3530,42.7135908191302,0.177369108632298
1910,"Mahoning",116151,423.3810368,87408,274.341526672741,0.752537644962161
1910,"Marion",33971,404.14415,18232,84.0566416710473,0.536693061729122
1910,"Medina",23598,423.1117488,5807,55.7724999764885,0.246080176286126
1910,"Meigs",25594,432.3764235,7217,59.1937918187623,0.281980151598031
1910,"Mercer",27536,473.2922692,3493,58.1796952790794,0.126852120859965
1910,"Miami",45047,409.2189093,19510,110.080445884224,0.433103203320976
1910,"Monroe",24244,457.4577711,2502,52.9972415633098,0.103200791948523
1910,"Montgomery",163763,464.3444281,120848,352.67570813778,0.737944468530743
1910,"Morgan",16097,421.8582103,0,38.1573704315315,0
1910,"Morrow",16815,407.3550166,0,41.2784900511276,0
1910,"Muskingum",57488,672.5903452,28026,85.4725322929004,0.487510436960757
1910,"Noble",18601,404.5847632,0,45.9755326742369,0
1910,"Ottawa",22360,267.0984085,3007,83.7144636150088,0.134481216457961
1910,"Paulding",22730,418.8962125,0,54.2616507901704,0
1910,"Perry",35396,412.5924782,5587,85.7892517925209,0.157842694089728
1910,"Pickaway",26158,506.7893478,6744,51.6151338096456,0.257817875984402
1910,"Pike",15723,443.941743,0,35.4168091825508,0
